file,entry_id,size,size_ok,bbox_coverage,density_ok,clearspace_required,clearspace_ink_ratio,clearspace_ok,status
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\C-15_base_1254x627.png,C-15,1254x627,true,0.859,true,true,0.0389,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\F-210_base_1254x627.png,F-210,1254x627,true,0.724,true,true,0.0476,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\F-211_base_1254x627.png,F-211,1254x627,true,0.633,true,true,0.0062,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\F-212_base_1254x627.png,F-212,1254x627,true,0.787,true,true,0.0953,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\G-48_base_1254x627.png,G-48,1254x627,true,0.801,true,true,0.0321,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-101_base_1254x627.png,J-101,1254x627,true,0.674,true,true,0.0301,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-102_base_1254x627.png,J-102,1254x627,true,0.559,true,true,0.0219,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-103_base_1254x627.png,J-103,1254x627,true,0.607,true,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-104_base_1254x627.png,J-104,1254x627,true,0.644,true,true,0.0184,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-105_base_1254x627.png,J-105,1254x627,true,0.826,true,true,0.0760,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-106_base_1254x627.png,J-106,1254x627,true,0.684,true,true,0.0555,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-107_base_1254x627.png,J-107,1254x627,true,0.846,true,true,0.0874,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-108_base_1254x627.png,J-108,1254x627,true,0.818,true,true,0.0684,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-109_base_1254x627.png,J-109,1254x627,true,0.887,true,true,0.1096,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-110_base_1254x627.png,J-110,1254x627,true,0.873,true,true,0.0660,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-111_base_1254x627.png,J-111,1254x627,true,0.697,true,true,0.0248,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-112_base_1254x627.png,J-112,1254x627,true,0.747,true,true,0.0581,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-113_base_1254x627.png,J-113,1254x627,true,0.743,true,true,0.0304,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-114_base_1254x627.png,J-114,1254x627,true,0.794,true,true,0.0597,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-24_base_1254x627.png,J-24,1254x627,true,0.870,true,true,0.1116,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-25_base_1254x627.png,J-25,1254x627,true,0.737,true,true,0.0736,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-26_base_1254x627.png,J-26,1254x627,true,0.861,true,true,0.0044,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-27_base_1254x627.png,J-27,1254x627,true,0.881,true,true,0.0404,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-28_base_1254x627.png,J-28,1254x627,true,0.890,true,true,0.0989,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-29_base_1254x627.png,J-29,1254x627,true,0.926,true,true,0.0976,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-30_base_1254x627.png,J-30,1254x627,true,0.889,true,true,0.0747,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-82_base_1254x627.png,J-82,1254x627,true,0.544,true,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-83_base_1254x627.png,J-83,1254x627,true,0.722,true,true,0.0627,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-84_base_1254x627.png,J-84,1254x627,true,0.703,true,true,0.0308,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-85_base_1254x627.png,J-85,1254x627,true,0.764,true,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-86_base_1254x627.png,J-86,1254x627,true,0.631,true,true,0.0330,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-87_base_1254x627.png,J-87,1254x627,true,0.759,true,true,0.0401,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-88_base_1254x627.png,J-88,1254x627,true,0.676,true,true,0.0093,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-89_base_1254x627.png,J-89,1254x627,true,0.758,true,true,0.0149,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-94_base_1254x627.png,J-94,1254x627,true,0.814,true,true,0.0767,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-95_base_1254x627.png,J-95,1254x627,true,0.736,true,true,0.0547,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-96_base_1254x627.png,J-96,1254x627,true,0.664,true,true,0.0171,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-97_base_1254x627.png,J-97,1254x627,true,0.792,true,true,0.1134,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-98_base_1254x627.png,J-98,1254x627,true,0.800,true,true,0.0635,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-019\J-99_base_1254x627.png,J-99,1254x627,true,0.744,true,true,0.0965,true,pass
