new_id,legacy_id,title,category,subtype,status,notes,path
A-1,,まえがき,common,intro,needs_review,,content/entries/common/A-1_preface[人書].md
A-2,,この本の読み方,common,intro,needs_review,,content/entries/common/A-2_reading_guide[人書].md
A-3,,図鑑の歩き方,common,intro,needs_review,,content/entries/common/A-3_walking_guide[人書].md
A-4,,体験区分の凡例,common,meta,needs_review,,content/entries/common/A-4_experience_legend[人書].md
A-5,,読者レベルの凡例,common,meta,needs_review,,content/entries/common/A-5_reader_level_legend[人書].md
A-6,,評価日・時変情報の見方,common,meta,needs_review,,content/entries/common/A-6_evaluation_date_legend[人書].md
A-7,,図のタイプ,common,meta,needs_review,,content/entries/common/A-7_figure_types_legend[人書].md
A-8,,色・記号の凡例,common,meta,needs_review,,content/entries/common/A-8_color_symbol_legend[人書].md
A-9,,索引,common,meta,needs_review,,content/entries/common/A-9_index[人書].md
A-10,,更新履歴と更新方針,common,meta,needs_review,,content/entries/common/A-10_changelog[人書].md
A-11,,略称表記,common,meta,needs_review,v2テンプレ書き起こし済（2026-04-30）,content/entries/common/A-11_abbreviations[人書].md
B-1,101,Gemini,service,ai_assistant,ready,新テンプレ書き起こし済（2026-04-24）。legacy 101 は archived,content/entries/service/B-1_gemini[済].md
B-2,,Claude,service,ai_assistant,ready,,content/entries/service/B-2_claude[済].md
B-3,,ChatGPT,service,ai_assistant,ready,,content/entries/service/B-3_chatgpt[済].md
B-4,,Cursor,service,ai_assistant,ready,,content/entries/service/B-4_cursor[済].md
B-5,,GitHub Copilot,service,ai_assistant,ready,,content/entries/service/B-5_github_copilot[済].md
B-6,,Windsurf,service,ai_assistant,ready,,content/entries/service/B-6_windsurf[済].md
B-7,,Claude Code,service,ai_assistant,ready,略称CC,content/entries/service/B-7_claude_code[済].md
B-8,,Codex,service,ai_assistant,ready,旧 title Codex (OpenAI) を Codex に変更（2026-04-30）,content/entries/service/B-8_codex[済].md
B-9,,v0,service,ai_assistant,ready,,content/entries/service/B-9_v0[済].md
B-10,,Devin,service,ai_assistant,ready,,content/entries/service/B-10_devin[済].md
B-11,,Bolt.new,service,ai_assistant,ready,,content/entries/service/B-11_bolt_new[済].md
B-12,,Perplexity,service,ai_assistant,ready,,content/entries/service/B-12_perplexity[済].md
B-13,,ElevenLabs,service,tts_service,ready,音声系 TTS・Voice Cloning,content/entries/service/B-13_elevenlabs[済].md
B-14,,Genspark,service,ai_assistant,ready,,content/entries/service/B-14_genspark[済].md
B-15,,Microsoft Copilot,service,ai_assistant,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-15_microsoft_copilot[済].md
B-16,,Microsoft 365 Copilot,service,ai_assistant,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-16_microsoft_365_copilot[済].md
B-17,,Edge Copilot,service,ai_assistant,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-17_edge_copilot[済].md
B-18,,Aqua Voice,service,voice_input_saas,ready,v2テンプレ書き起こし済（2026-04-29）,content/entries/service/B-18_aqua_voice[済].md
B-19,,Claude Cowork,service,collaboration_service,ready,v2テンプレ書き起こし済（2026-04-30）。正式名称は出版前に要確認,content/entries/service/B-19_claude_cowork[済].md
B-20,,Vercel,service,hosting_cloud,ready,,content/entries/service/B-20_vercel[済].md
B-21,,Netlify,service,hosting_cloud,ready,,content/entries/service/B-21_netlify[済].md
B-22,,Cloudflare,service,hosting_cloud,ready,,content/entries/service/B-22_cloudflare[済].md
B-23,,AWS,service,hosting_cloud,ready,,content/entries/service/B-23_aws[済].md
B-24,,Google Cloud,service,hosting_cloud,ready,,content/entries/service/B-24_google_cloud[済].md
